,Name,Cloudiness,Country,Date,Humidity,Lat,Lng,Temp,Wind Speed
0,Hilo,1,US,1569183782,62,19.71,-155.08,81.99,8.05
1,Khor,0,RU,1569184265,93,47.88,134.96,44.56,5.01
2,Leningradskiy,100,RU,1569184080,87,69.38,178.42,32.5,11.86
3,Hermanus,57,ZA,1569184266,93,-34.42,19.24,48.52,11.1
4,Santiago de Cao,40,PE,1569184266,77,-7.96,-79.24,64.4,11.41
5,Agaro,68,ET,1569184266,95,7.86,36.59,57.16,2.86
6,Katsuura,75,JP,1569184266,74,33.93,134.5,81.43,19.46
7,Westport,1,US,1569184267,57,41.14,-73.36,80.82,8.05
8,Bredasdorp,81,ZA,1569184267,66,-34.53,20.04,48.11,1.12
9,Geraldton,40,CA,1569184267,60,49.72,-86.95,68.0,12.75
10,Cape Town,20,ZA,1569184085,71,-33.93,18.42,54.88,6.93
11,Nikolskoye,0,RU,1569184267,83,59.7,30.79,38.52,11.18
12,Ostrovnoy,100,RU,1569184268,77,68.05,39.51,38.08,20.67
13,Dingle,88,PH,1569184268,93,11.0,122.67,73.72,2.04
14,Upernavik,53,GL,1569184268,74,72.79,-56.15,37.0,9.51
15,Dikson,100,RU,1569184268,97,73.51,80.55,36.64,10.47
16,Bluff,75,AU,1569184083,69,-23.58,149.07,63.82,5.57
17,Lorengau,94,PG,1569184269,82,-2.02,147.27,78.22,3.56
18,Saldanha,94,PT,1569184269,68,41.42,-6.55,58.78,4.12
19,Punta Arenas,75,CL,1569184086,61,-53.16,-70.91,48.09,16.11
20,Poco Verde,100,BR,1569184269,50,-10.71,-38.18,74.62,13.47
21,Turukhansk,100,RU,1569184110,69,65.8,87.96,38.98,18.86
22,Butaritari,59,KI,1569184269,60,3.07,172.79,84.34,4.72
23,Aripuana,100,BR,1569184270,83,-9.17,-60.63,74.08,3.98
24,Ouesso,93,CG,1569184270,84,1.61,16.05,73.9,2.39
25,Hithadhoo,99,MV,1569184086,78,-0.6,73.08,82.0,13.13
26,Yellowknife,75,CA,1569184096,87,62.45,-114.38,54.43,12.75
27,Paamiut,0,GL,1569184270,80,61.99,-49.67,39.52,11.01
28,Albany,75,US,1569184131,43,42.65,-73.75,83.75,10.29
29,Kapaa,40,US,1569184079,74,22.08,-159.32,83.35,10.29
30,Arraial do Cabo,90,BR,1569184079,94,-22.97,-42.02,69.8,11.41
31,Navolato,75,MX,1569184271,59,24.76,-107.7,92.7,12.15
32,Tuatapere,67,NZ,1569184089,87,-46.13,167.69,46.99,5.01
33,Ilulissat,100,GL,1569184260,69,69.22,-51.1,39.2,4.7
34,Castro,20,CL,1569184099,62,-42.48,-73.76,53.6,5.82
35,Puerto Ayora,40,EC,1569184097,57,-0.74,-90.35,72.45,21.92
36,Hobart,75,AU,1569184086,70,-42.88,147.33,40.14,10.29
37,Sinazongwe,0,ZM,1569184273,21,-17.26,27.46,72.46,5.28
38,Moron,94,HT,1569184273,76,18.56,-74.26,83.62,11.12
39,Tuktoyaktuk,90,CA,1569183996,100,69.44,-133.03,39.2,10.29
40,Brae,85,GB,1569184274,93,60.4,-1.35,51.8,8.05
41,Uvat,100,RU,1569184274,93,59.14,68.9,39.88,15.21
42,Vaini,32,IN,1569184082,93,15.34,74.49,74.26,2.51
43,Khatanga,100,RU,1569184274,95,71.98,102.47,36.1,17.43
44,Chippewa Falls,40,US,1569183763,56,44.94,-91.39,68.94,8.05
45,Suntar,100,RU,1569184274,90,62.16,117.65,37.54,6.15
46,Portland,75,US,1569183818,54,43.66,-70.25,78.42,5.82
47,Gat,20,SN,1569184275,74,14.69,-16.54,84.2,3.36
48,Rikitea,35,PF,1569184073,83,-23.12,-134.97,69.94,19.37
49,Mataura,100,NZ,1569184081,87,-46.19,168.86,46.99,5.01
50,Meulaboh,100,ID,1569184275,83,4.14,96.13,80.02,8.79
51,Port Hardy,75,CA,1569184275,77,50.7,-127.42,59.0,14.99
52,Barrow,0,AR,1569184090,49,-38.31,-60.23,60.76,6.26
53,Chapais,90,CA,1569184276,94,49.78,-74.86,68.0,11.41
54,Atuona,6,PF,1569184097,79,-9.8,-139.03,79.66,20.29
55,Pevek,100,RU,1569184088,90,69.7,170.27,36.46,20.02
56,Ushuaia,90,AR,1569184093,70,-54.81,-68.31,44.6,4.5
57,Boende,35,CD,1569184276,73,-0.28,20.88,75.7,0.11
58,Puerto Madryn,54,AR,1569184085,15,-42.77,-65.04,68.86,18.54
59,Saint-Augustin,75,CA,1569184277,73,45.63,-73.98,78.49,9.17
60,Rincon,40,PA,1569184277,79,8.46,-82.28,70.43,11.41
61,Tocopilla,0,CL,1569184277,87,-22.09,-70.2,58.42,15.1
62,Sitka,0,US,1569184278,41,37.17,-99.65,78.1,11.01
63,Port Alfred,31,ZA,1569184089,78,-33.59,26.89,53.01,5.01
64,Rio Gallegos,0,AR,1569184278,37,-51.62,-69.22,50.0,17.22
65,Pangnirtung,20,CA,1569184096,75,66.15,-65.72,41.0,4.7
66,Tasiilaq,100,GL,1569184278,81,65.61,-37.64,44.6,33.33
67,Cabo San Lucas,75,MX,1569184278,88,22.89,-109.91,83.79,17.22
68,Bukoba,0,TZ,1569184279,80,-1.33,31.81,64.9,2.24
69,Saint George,20,GR,1569184024,77,39.45,22.34,60.69,4.7
70,Vao,0,EE,1569184279,70,59.1,26.19,42.4,7.7
71,Khorramabad,0,IR,1569184279,30,33.48,48.35,72.41,4.7
72,Wanning,75,AT,1569184279,72,48.64,13.53,55.4,3.36
73,Kaitangata,100,NZ,1569184280,70,-46.28,169.85,46.99,18.99
74,Siderno,75,IT,1569184280,94,38.28,16.3,76.05,12.75
75,Walvis Bay,0,NA,1569184280,72,-22.95,14.51,58.37,5.82
